0,7,10,12,14,7,1,6,5,4,12,2,7,10,6,10,7,13,10
11,1,11,15,11,6,1,9,14,6,3,6,13,12,6,2,0,6,3
9,10,14,8,13,9,13,3,7,5,9,1,4,4,1,2,12,12,13
14,0,4,8,4,12,3,8,8,4,4,9,7,5,8,8,9,5,6
0,11,14,0,14,8,9,4,10,11,8,3,8,6,14,8,0,3,10
1,4,0,6,11,15,9,4,8,9,12,1,9,11,11,5,11,5,9
10,6,11,9,11,12,2,12,3,14,2,10,11,13,11,7,9,7,7
13,14,14,1,4,9,13,8,12,7,15,9,12,7,15,3,12,1,10
13,3,3,4,8,3,6,14,3,0,0,2,9,10,9,10,4,1,3
10,6,5,1,9,5,13,6,2,3,15,11,5,1,13,3,2,8,10
12,11,8,10,11,14,13,7,5,11,10,1,5,8,3,10,4,0,14
3,1,1,2,9,13,4,11,8,3,5,1,12,2,5,8,14,6,10
14,14,5,1,10,15,3,3,3,12,2,8,10,11,1,8,12,11,4
6,11,12,8,15,10,8,4,4,13,5,2,8,7,12,8,8,2,1
3,3,4,7,1,8,9,15,7,14,1,3,8,10,8,9,3,5,10
6,14,13,14,1,6,9,5,8,7,1,9,14,8,7,3,2,12,13
0,2,6,3,14,14,0,7,7,14,1,10,15,13,8,13,10,10,1
0,1,6,12,8,0,15,1,7,14,1,3,10,1,0,13,1,12,0
4,3,10,4,4,8,5,0,2,1,4,6,1,13,1,2,10,8,7
